State Abbreviation,State Name,Districts
AL,Alabama,"1,2,3,4,5,6,7"
AK,Alaska,"1"
AZ,Arizona,"1,2,3,4,5,6,7,8,9"
AR,Arkansas,"1,2,3,4"
CA,California,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53"
CO,Colorado,"1,2,3,4,5,6,7"
CT,Connecticut,"1,2,3,4,5"
DE,Delaware,"1"
DC,District of Columbia,"1"
FL,Florida,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
GA,Georgia,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
HI,Hawaii,"1,2"
ID,Idaho,"1,2"
IL,Illinois,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
IN,Indiana,"1,2,3,4,5,6,7,8,9"
IA,Iowa,"1,2,3,4"
KS,Kansas,"1,2,3,4"
KY,Kentucky,"1,2,3,4,5,6"
LA,Lousiana,"1,2,3,4,5,6"
ME,Maine,"1,2"
MD,Maryland,"1,2,3,4,5,6,7,8"
MA,Massachussets,"1,2,3,4,5,6,7,8,9"
MI,Michigan,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
MN,Minnesota,"1,2,3,4,5,6,7,8"
MS,Mississippi,"1,2,3,4"
MO,Missouri,"1,2,3,4,5,6,7,8"
MT,Montana,"1"
NE,Nebraska,"1,2,3"
NV,Nevada,"1,2,3,4"
NH,New Hampshire,"1,2"
NJ,New Jersey,"1,2,3,4,5,6,7,8,9,10,11,12"
NM,New Mexico,"1,2,3"
NY,New York,"1,2,3,4,5,6,7,8,9,10,11,12,13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26,27"
NC,North Carolina,"1,2,3,4,5,6,7,8,9,10,11,12,13"
ND,North Dakota,"1"
OH,Ohio,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
OK,Oklahoma,"1,2,3,4,5"
OR,Oregon,"1,2,3,4,5"
PA,Pennsylvania,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
RI,Rhode Island,"1,2"
SC,South Carolina,"1,2,3,4,5,6,7"
SD,South Dakota,"1"
TN,Tennessee,"1,2,3,4,5,6,7,8,9"
TX,Texas,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36"
UT,Utah,"1,2,3,4"
VT,Vermont,"1"
VA,Virginia,"1,2,3,4,5,6,7,8,9,10,11"
WA,Washington,"1,2,3,4,5,6,7,8,9,10"
WV,West Virginia,"1,2"
WI,Wisconsin,"1,2,3,4,5,6,7,8"
WY,Wyoming,"1"
PR,Puerto Rico,"1"
GU,Guam,"1"
AS,American Samoa,"1"
MP,Mariana Islands,"1"
VI,Virgin Islands,"1"