Abbreviation,Name,Chair,Representative_id,URL,Subcommittees,Chamber
HSHA,Committee on Administration,Zoe Lofgren,82,https://cha.house.gov/,Elections,House
HSAG,Committee on Agriculture,Collin C. Peterson,262,https://agriculture.house.gov/,"Nutrition, Oversight, and Department Operations; General Farm Commodities and Risk Management; Conservation and Forestry; Commodity Exchanges, Energy, and Credit; Livestock and Foreign Agriculture; Biotechnology, Horticulture, and Research",House
HSAP,Committee on Appropriations,Nita M. Lowey,317,https://appropriations.house.gov/,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies; Commerce, Justice, Science, and Related Agencies; Defense; Energy and Water Development, and Related Agencies; Financial Services and General Government; Homeland Security; Interior, Environment, and Related Agencies; Labor, Health and Human Services, Education, and Related Agencies; Legislative Branch; Military Construction, Veterans Affairs, and Related Agencies; State, Foreign Operations, and Related Programs; Transportation, and Housing and Urban Development, and Related Agencies",House
HSAS,Committee on Armed Services,Adam Smith,465,https://armedservices.house.gov/,Tactical Air and Land Forces'; Military Personnel; Readiness; Seapower and Projection Forces; Strategic Forces; Intelligence and Emerging Threats and Capabilities,House
HSED,Committee on Education and Labor,Robert C. Scott,448,https://edlabor.house.gov/,"Early Childhood, Elementary, and Secondary Education; Health, Employment, Labor, and Pensions; Higher Education and Workforce Investment; Workforce Protections; Civil Rights and Human Services",House
HSIF,Committee on Energy and Commerce,Frank Pallone,291,https://energycommerce.house.gov/,Consumer Protection and Commerce; Communications and Technology; Energy; Health; Oversight and Investigations; Environment and Climate Change ,House
HSSO,Committee on Ethics,Ted Deutch,152,https://ethics.house.gov/,,House
HSBA,Committee on Financial Services,Maxine Waters,106,https://financialservices.house.gov/,"Investor Protection, Entrepreneurship, and Capital Markets; Consumer Protection and Financial Institutions; Housing, Community Development, and Insurance; Oversight and Investigations; National Security, International Development, and Monetary Policy; Diversity and Inclusion",House
HSFA,Committee on Foreign Affairs,Eliot L. Engel,316,https://foreignaffairs.house.gov/,"Africa, Global Health, Global Human Rights, and International Organizations; Asia, the Pacific, and Nonproliferation; Europe, Eurasia, Energy, and the Environment; Oversight and Investigations; Middle East, North Africa, and International Terrorism; Western Hemisphere, Civilian Security, and Trade",House
HSHM,Committee on Homeland Security,Bennie Thompson,265,https://homeland.house.gov/,"Border Security, Facilitation, and Operations; Emergency Preparedness, Response, and Recovery; Cybersecurity, Infrastructure Protection, and Innovation; Intelligence and Counterterrorism; Oversight, Management, and Accountability; Transportation and Maritime Security",House
HSII,"Committee on Natural Resources
",Raúl M. Grijalva,53,https://naturalresources.house.gov/,"Energy and Mineral Resources; Fisheries, Wildlife, Oceans and Insular Affairs; National Parks, Forests, and Public Lands; Water, Oceans, and Wildlife; Oversight and Investigations; ndigenous Peoples of the United States",House
HSGO,Committee on Oversight and Reform,Elijah E. Cummings,231,https://oversight.house.gov/,"Information Technology; Government Operations; National Security',api_uri: 'https://api.propublica.org/congress/v1/116/house/committees/HSGO/subcommittees/HSGO06.json' Environment; Healthcare, Benefits, and Administrative Rules; Intergovernmental Affairs; Civil Rights and Civil Liberties; Economic and Consumer Policy",House
HSRU,Committee on Rules,Jim McGovern,234,https://rules.house.gov/,Legislative and Budget Process; Rules and Organization of the House; Expedited Procedures,House
HSSY,"Committee on Science, Space, and Technology",Eddie Bernice Johnson,434,https://science.house.gov/,Energy; Investigations and Oversight'; Space and Aeronautics; Research and Technology; Environment,House
HSSM,Committee on Small Business,Nydia M. Velázquez,307,https://smallbusiness.house.gov/,"Contracting and Infrastructure'; Investigations, Oversight and Regulations; Rural Development, Agriculture, Trade and Entrepreneurship; Economic Growth, Tax and Capital Access; Innovation and Workforce Development",House
HSBU,Committee on the Budget,John Yarmuth,213,https://budget.house.gov/,,House
HSJU,Committee on the Judiciary,Jerrold Nadler,310,https://judiciary.house.gov/,"Constitution, Civil Rights, and Civil Liberties; Courts, Intellectual Property, and the Internet; Crime, Terrorism and Homeland Security; Immigration and Citizenship; Antitrust, Commercial and Administrative Law",House
HSPW,Committee on Transportation and Infrastructure,Peter A. DeFazio,366,https://transportation.house.gov/,"Aviation; Coast Guard and Maritime Transportation; Economic Development, Public Buildings, and Emergency Management; Highways and Transit; Railroads, Pipelines, and Hazardous Materials; Water Resources and Environment",House
HSVR,Committee on Veterans' Affairs,Mark Takano,104,https://veterans.house.gov/,Disability Assistance and Memorial Affairs; Economic Opportunity; Health; Oversight and Investigations; Technology Modernization,House
HSWM,Committee on Ways and Means,Richard E. Neal,233,https://waysandmeans.house.gov/,Health; Worker and Family Support; Oversight; Select Revenue Measures; Social Security; Trade,House
HSIG,Permanent Select Committee on Intelligence,Adam B. Schiff,91,https://intelligence.house.gov/,"Defense Intelligence and Warfighter Support; Oversight and Investigations; Counterterrorism, Counterintelligence, and Counterproliferation; Intelligence Modernization and Readiness; Department of Defense Intelligence and Overhead Architecture; Emerging Threats; National Security Agency and Cybersecurity; Central Intelligence Agency; Strategic Technologies and Advanced Research",House
HSCN,Select Committee on the Climate Crisis,Kathy Castor,144,https://climatecrisis.house.gov/,,House
HSMH,Select Committee on the Modernization of Congress,Derek Kilmer,462,https://modernizecongress.house.gov/,,House